,base_time,id_device,imu_mean,weight_slope,weight_mean,temperature_mean,stage
65,3377,1,0.4382205102726321,-0.009742289905948743,2951.035385517591,17.0,2.0
66,3427,1,0.4279704348216188,-0.0231616524101874,2950.377568762337,17.0,2.0
67,3476,1,0.41722818948555174,-0.013070101804518673,2949.7030976605615,17.0,2.0
68,3526,1,0.4016871921328807,-0.04456374194603048,2948.1487670156303,17.0,2.0
69,3576,1,0.3876656415591657,-0.06005140921766417,2945.427418059059,17.0,2.0
70,3625,1,0.3866873437401469,-0.04485311689373321,2942.819512620307,17.0,2.0
71,3675,1,0.38630226096784576,-0.049555459793883046,2940.313815301262,17.0,2.0
72,3725,1,0.38635027097962,-0.0487596786877038,2937.8471832603104,17.0,2.0
73,3774,1,0.38613659863004535,-0.0487596786877038,2935.2993939063053,17.0,2.0
74,3824,1,0.38671791872945305,-0.04873556410872827,2932.8015795647934,17.0,2.0
75,3874,1,0.3868563171845739,-0.04866322037180445,2930.315651948822,17.0,2.0
76,3923,1,0.387006840758018,-0.04885661055273908,2927.9734641543632,17.0,2.0
77,3973,1,0.3866680286438749,-0.046951085264568565,2925.752325083266,17.0,2.0
78,4023,1,0.3864177045936692,-0.04205582573261993,2923.4934209943426,17.0,2.0
79,4072,1,0.3856248907302874,-0.026008605518938747,2921.7215086754663,17.0,2.0
80,4122,1,0.3838193987423596,-0.020569735865781806,2920.403198017666,17.0,2.0
81,4172,1,0.38286791007372634,-0.015578018017931485,2919.4061929265363,17.0,2.0
82,4221,1,0.38002760931495966,-0.02082136044790804,2918.5349036071325,17.0,2.0
83,4271,1,0.3779949803322611,-0.034724993724180184,2917.3643413080235,17.0,2.0
84,4321,1,0.37762789548165315,-0.04159764873209163,2915.550188489847,17.0,2.0
85,4370,1,0.3764797428548024,-0.04538236269120913,2913.450423805826,17.0,2.0
86,4420,1,0.3764632181323854,-0.03725702451656844,2911.2734337191728,17.0,2.0
87,4470,1,0.37631209065238147,-0.03527962904060986,2909.417117028453,17.0,2.0
88,4519,1,0.3761050538973359,-0.029781505034280713,2907.813225634428,17.0,2.0
89,4569,1,0.3766289328084414,-0.028503432348600026,2906.3261253896294,17.0,2.0
90,4619,1,0.37652714955151045,-0.023174110395096186,2904.994225455552,17.0,2.0
91,4668,1,0.3766120472386022,-0.021244944077084122,2903.863506675029,17.0,2.0
92,4718,1,0.37551437206725136,-0.021183261266816897,2902.857924176388,17.0,2.0
93,4768,1,0.37382325340172246,-0.015963851281533426,2901.9759550028534,17.0,2.0
94,4817,1,0.3726148875362031,-0.02445218308077698,2901.161508368959,17.0,2.0
95,4867,1,0.3724666432632227,-0.027046054533145875,2899.973829568206,17.0,2.0
96,4917,1,0.3720758802796307,-0.027466505452668728,2898.647331820434,17.0,2.0
97,4966,1,0.37200389382869287,-0.02910629682297611,2897.183806276067,17.0,2.0
98,5016,1,0.3717760250983461,-0.035031999270408495,2895.6818524135156,17.0,2.0
99,5066,1,0.3713361536062524,-0.033688066828251144,2893.9788012079252,17.0,2.0
100,5115,1,0.3713687592185038,-0.03219296293179193,2892.2542921160407,17.0,2.0
101,5165,1,0.3716610511820193,-0.028889265612199712,2890.755048924986,17.0,2.0
102,5215,1,0.37307683985591533,-0.025127391292081473,2889.3170688254336,17.0,2.0
